Rate_adj,health_event,Visit,Geography,year,age_group,month,Sex,rate_per_10k,rate_per_10kpy,count,dailyMean
Age-Adjusted Rate,Asthma,ED,New York State,2015-2017,Total,6,Total,17.83,72.376,33710,374.556
Age-Adjusted Rate,Asthma,ED,New York State,2015-2017,Total,7,Total,14.35,56.362,27525,295.968
Age-Adjusted Rate,Asthma,ED,New York State,2015-2017,Total,8,Total,15.01,58.980,28660,308.172
Age-Adjusted Rate,Asthma,ED,New York State,2015-2017,Total,9,Total,21.43,86.979,39525,439.167
Age-Adjusted Rate,Asthma,ED,New York State,2015-2017,Total,Total,Total,257.27,85.757,478741,436.807
Age-Adjusted Rate,Asthma,ED,New York State,2016,0-4,Total,Total,,,22921,62.626
Age-Adjusted Rate,Asthma,ED,New York State,2016,15-19,Total,Total,,,9282,25.361
Age-Adjusted Rate,Asthma,ED,New York State,2016,20-24,Total,Total,,,11952,32.656
Age-Adjusted Rate,Asthma,ED,New York State,2016,25-64,Total,Total,,,73009,199.478
Age-Adjusted Rate,Asthma,ED,New York State,2016,5-14,Total,Total,,,31586,86.301
Age-Adjusted Rate,Asthma,ED,New York State,2016,65,Total,Total,,,9451,25.822
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,1,Total,7.54,89.074,14024,452.387
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,10,Total,8.46,99.855,15533,501.065
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,11,Total,7.96,97.081,14607,486.900
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,12,Total,8.32,98.204,15269,492.548
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,2,Total,7.10,89.651,13278,457.862
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,3,Total,8.12,95.912,14983,483.323
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,4,Total,7.13,86.985,13189,439.633
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,5,Total,7.72,91.130,14242,459.419
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,6,Total,5.79,70.661,10868,362.267
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,7,Total,5.03,59.443,9506,306.645
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,8,Total,5.35,63.181,10053,324.290
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,9,Total,6.93,84.525,12649,421.633
Age-Adjusted Rate,Asthma,ED,New York State,2016,Total,Total,Total,85.46,85.460,158201,432.243
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,0-4,Total,Female,,,22635,20.652
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,0-4,Total,Male,,,39574,36.108
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,0-4,Total,Total,,,62209,56.760
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,15-19,Total,Female,,,15323,13.981
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,15-19,Total,Male,,,10677,9.742
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,15-19,Total,Total,,,26000,23.723
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,20-24,Total,Female,,,19184,17.504
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,20-24,Total,Male,,,14065,12.833
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,20-24,Total,Total,,,33249,30.337
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,25-64,Total,Female,,,125541,114.545
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,25-64,Total,Male,,,82986,75.717
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,25-64,Total,Total,,,208534,190.268
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,5-14,Total,Female,,,35451,32.346
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,5-14,Total,Male,,,52029,47.472
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,5-14,Total,Total,,,87480,79.818
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,65,Total,Female,,,20821,18.997
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,65,Total,Male,,,8502,7.757
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,65,Total,Total,,,29324,26.755
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,1,Total,22.00,86.418,40996,440.817
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,10,Total,24.30,95.444,44388,477.290
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,11,Total,22.56,91.571,41147,457.189
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,12,Total,22.89,89.912,42054,452.194
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,2,Total,19.57,84.117,36328,427.388
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,3,Total,21.58,84.762,39586,425.656
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,4,Total,19.99,81.142,36967,410.744
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,5,Total,25.03,98.324,45788,492.344
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,6,Total,16.13,65.470,30291,336.567
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,7,Total,13.12,51.532,24872,267.441
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,8,Total,13.95,54.817,26308,282.882
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,9,Total,20.90,84.829,38071,423.011
Age-Adjusted Rate,Asthma,ED,New York State,2016-2018,Total,Total,Total,242.01,80.669,446796,407.661
Age-Adjusted Rate,Asthma,ED,New York State,2017,0-4,Total,Total,,,19789,54.216
Age-Adjusted Rate,Asthma,ED,New York State,2017,15-19,Total,Total,,,8619,23.614
Age-Adjusted Rate,Asthma,ED,New York State,2017,20-24,Total,Total,,,10912,29.896
Age-Adjusted Rate,Asthma,ED,New York State,2017,25-64,Total,Total,,,68651,188.085
Age-Adjusted Rate,Asthma,ED,New York State,2017,5-14,Total,Total,,,28130,77.068
Age-Adjusted Rate,Asthma,ED,New York State,2017,65,Total,Total,,,10085,27.630
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,1,Total,7.54,88.780,14062,453.613
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,10,Total,7.18,84.541,13103,422.677
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,11,Total,7.51,91.427,13676,455.867
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,12,Total,7.12,83.870,13180,425.161
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,2,Total,6.07,79.144,11349,405.321
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,3,Total,6.84,80.518,12640,407.742
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,4,Total,6.76,82.301,12573,419.100
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,5,Total,9.15,107.745,16707,538.935
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,6,Total,5.30,64.531,9994,333.133
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,7,Total,4.15,48.852,7930,255.806
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,8,Total,4.42,52.039,8412,271.355
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,9,Total,6.86,83.410,12560,418.667
Age-Adjusted Rate,Asthma,ED,New York State,2017,Total,Total,Total,78.91,78.912,146186,400.510
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,0-4,Total,Female,,,19885,18.160
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,0-4,Total,Male,,,35222,32.166
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,0-4,Total,Total,,,55107,50.326
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,15-19,Total,Female,,,14139,12.912
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,15-19,Total,Male,,,9618,8.784
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,15-19,Total,Total,,,23757,21.696
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,20-24,Total,Female,,,17575,16.050
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,20-24,Total,Male,,,12867,11.751
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,20-24,Total,Total,,,30442,27.801
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,25-64,Total,Female,,,117344,107.163
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,25-64,Total,Male,,,78562,71.746
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,25-64,Total,Total,,,195914,178.917
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,5-14,Total,Female,,,31837,29.075
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,5-14,Total,Male,,,46681,42.631
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,5-14,Total,Total,,,78518,71.706
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,65,Total,Female,,,21093,19.263
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,65,Total,Male,,,8482,7.746
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,65,Total,Total,,,29577,27.011
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,1,Total,,,38814,417.355
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,10,Total,,,39715,427.043
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,11,Total,,,38146,423.844
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,12,Total,,,38384,412.731
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,2,Total,,,32916,391.857
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,3,Total,,,35832,385.290
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,4,Total,,,34386,382.067
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,5,Total,,,44887,482.656
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,6,Total,,,28244,313.822
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,7,Total,,,22630,243.333
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,8,Total,,,22906,246.301
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,9,Total,,,36455,405.056
Age-Adjusted Rate,Asthma,ED,New York State,2017-2019,Total,Total,Total,,,413315,377.457
Age-Adjusted Rate,Asthma,ED,New York State,2018,0-4,Total,Total,,,19499,53.422
Age-Adjusted Rate,Asthma,ED,New York State,2018,15-19,Total,Total,,,8099,22.189
Age-Adjusted Rate,Asthma,ED,New York State,2018,20-24,Total,Total,,,10385,28.452
Age-Adjusted Rate,Asthma,ED,New York State,2018,25-64,Total,Total,,,66874,183.216
Age-Adjusted Rate,Asthma,ED,New York State,2018,5-14,Total,Total,,,27764,76.066
Age-Adjusted Rate,Asthma,ED,New York State,2018,65,Total,Total,,,9788,26.816
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,1,Total,6.91,81.313,12910,416.452
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,10,Total,8.66,101.943,15752,508.129
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,11,Total,7.08,86.119,12864,428.800
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,12,Total,7.44,87.590,13605,438.871
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,2,Total,6.39,83.304,11701,417.893
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,3,Total,6.60,77.754,11963,385.903
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,4,Total,6.09,74.066,11205,373.500
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,5,Total,8.16,96.118,14839,478.677
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,6,Total,5.03,61.148,9429,314.300
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,7,Total,3.92,46.194,7436,239.871
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,8,Total,4.17,49.115,7843,253.000
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,9,Total,7.11,86.545,12862,428.733
Age-Adjusted Rate,Asthma,ED,New York State,2018,Total,Total,Total,77.56,77.561,142409,390.162
Age-Adjusted Rate,Asthma,ED,New York State,2019,0-4,Total,Total,,,15819,43.340
Age-Adjusted Rate,Asthma,ED,New York State,2019,15-19,Total,Total,,,7039,19.285
Age-Adjusted Rate,Asthma,ED,New York State,2019,20-24,Total,Total,,,9145,25.055
Age-Adjusted Rate,Asthma,ED,New York State,2019,25-64,Total,Total,,,60389,165.449
Age-Adjusted Rate,Asthma,ED,New York State,2019,5-14,Total,Total,,,22624,61.984
Age-Adjusted Rate,Asthma,ED,New York State,2019,65,Total,Total,,,9704,26.586
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,1,Total,6.38,75.074,11842,382.000
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,10,Total,5.94,69.951,10860,350.323
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,11,Total,6.42,78.129,11606,386.867
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,12,Total,6.29,74.088,11599,374.161
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,2,Total,5.32,69.406,9866,352.357
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,3,Total,6.16,72.516,11229,362.226
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,4,Total,5.79,70.462,10608,353.600
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,5,Total,7.34,86.413,13341,430.355
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,6,Total,4.75,57.740,8821,294.033
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,7,Total,3.85,45.378,7264,234.323
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,8,Total,3.54,41.646,6651,214.548
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,9,Total,6.14,74.697,11033,367.767
Age-Adjusted Rate,Asthma,ED,New York State,2019,Total,Total,Total,67.92,67.921,124720,341.699
Age-Adjusted Rate,Asthma,Inpatient,Albany,2000-2002,Total,Total,Total,28.64,9.546,824,0.752
Age-Adjusted Rate,Asthma,Inpatient,Albany,2000-2019,Total,Total,Total,216.14,10.807,6263,0.857
Age-Adjusted Rate,Asthma,Inpatient,Albany,2001-2003,Total,Total,Total,31.97,10.657,918,0.838
Age-Adjusted Rate,Asthma,Inpatient,Albany,2002-2004,Total,Total,Total,36.45,12.151,1043,0.952
Age-Adjusted Rate,Asthma,Inpatient,Albany,2003-2005,Total,Total,Total,40.71,13.571,1160,1.058
Age-Adjusted Rate,Asthma,Inpatient,Albany,2004-2006,Total,Total,Total,41.87,13.958,1194,1.089
Age-Adjusted Rate,Asthma,Inpatient,Albany,2005-2007,Total,Total,Total,40.10,13.367,1146,1.047
Age-Adjusted Rate,Asthma,Inpatient,Albany,2006-2008,Total,Total,Total,37.56,12.521,1085,0.990
Age-Adjusted Rate,Asthma,Inpatient,Albany,2007-2009,Total,Total,Total,39.79,13.265,1155,1.054
Age-Adjusted Rate,Asthma,Inpatient,Albany,2008-2010,Total,Total,Total,40.63,13.543,1203,1.098
Age-Adjusted Rate,Asthma,Inpatient,Albany,2009-2011,Total,Total,Total,41.28,13.760,1223,1.117
Age-Adjusted Rate,Asthma,Inpatient,Albany,2010-2012,Total,Total,Total,37.68,12.559,1119,1.021
Age-Adjusted Rate,Asthma,Inpatient,Albany,2011-2013,Total,Total,Total,34.21,11.404,1012,0.923
Age-Adjusted Rate,Asthma,Inpatient,Albany,2012-2014,Total,Total,Total,31.78,10.592,947,0.864
Age-Adjusted Rate,Asthma,Inpatient,Albany,2013-2015,Total,Total,Total,28.96,9.654,862,0.787
Age-Adjusted Rate,Asthma,Inpatient,Albany,2014-2016,Total,Total,Total,24.89,8.298,725,0.661
Age-Adjusted Rate,Asthma,Inpatient,Albany,2015-2017,Total,Total,Total,22.22,7.407,627,0.572
Age-Adjusted Rate,Asthma,Inpatient,Albany,2016-2018,Total,Total,Total,20.47,6.822,556,0.507
Age-Adjusted Rate,Asthma,Inpatient,Albany,2017-2019,Total,Total,Total,,,591,0.540
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2000-2002,Total,Total,Total,38.95,12.983,179,0.163
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2000-2019,Total,Total,Total,186.12,9.306,864,0.118
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2001-2003,Total,Total,Total,36.85,12.282,172,0.157
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2002-2004,Total,Total,Total,38.67,12.889,181,0.165
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2003-2005,Total,Total,Total,37.67,12.557,177,0.161
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2004-2006,Total,Total,Total,35.52,11.841,164,0.150
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2005-2007,Total,Total,Total,35.45,11.817,162,0.148
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2006-2008,Total,Total,Total,31.47,10.490,145,0.132
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2007-2009,Total,Total,Total,33.94,11.312,158,0.144
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2008-2010,Total,Total,Total,32.53,10.844,152,0.139
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2009-2011,Total,Total,Total,33.04,11.015,154,0.141
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2010-2012,Total,Total,Total,28.34,9.445,133,0.121
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2011-2013,Total,Total,Total,23.91,7.971,117,0.107
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2012-2014,Total,Total,Total,22.61,7.538,113,0.103
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2013-2015,Total,Total,Total,20.40,6.800,103,0.094
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2014-2016,Total,Total,Total,17.70,5.900,91,0.083
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2015-2017,Total,Total,Total,12.23,4.078,62,0.057
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2016-2018,Total,Total,Total,10.31,3.437,53,0.048
Age-Adjusted Rate,Asthma,Inpatient,Allegany,2017-2019,Total,Total,Total,,,51,0.047
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2000-2002,Total,Total,Total,191.03,63.675,25637,23.391
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2000-2019,Total,Total,Total,1150.11,57.506,158563,21.706
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2001-2003,Total,Total,Total,203.61,67.871,27476,25.092
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2002-2004,Total,Total,Total,210.91,70.302,28451,25.959
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2003-2005,Total,Total,Total,207.91,69.303,27889,25.446
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2004-2006,Total,Total,Total,198.78,66.259,26505,24.183
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2005-2007,Total,Total,Total,194.56,64.854,25879,23.634
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2006-2008,Total,Total,Total,200.11,66.704,26647,24.313
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2007-2009,Total,Total,Total,206.58,68.860,27710,25.283
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2008-2010,Total,Total,Total,203.77,67.923,27544,25.131
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2009-2011,Total,Total,Total,195.03,65.011,26657,24.344
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2010-2012,Total,Total,Total,183.72,61.242,25373,23.151
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2011-2013,Total,Total,Total,176.49,58.831,24674,22.513
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2012-2014,Total,Total,Total,172.51,57.502,24361,22.227
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2013-2015,Total,Total,Total,161.93,53.975,23124,21.118
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2014-2016,Total,Total,Total,145.73,48.578,20964,19.128
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2015-2017,Total,Total,Total,124.11,41.370,17932,16.361
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2016-2018,Total,Total,Total,108.36,36.119,15597,14.231
Age-Adjusted Rate,Asthma,Inpatient,Bronx,2017-2019,Total,Total,Total,,,14441,13.188
Age-Adjusted Rate,Asthma,Inpatient,Broome,2000-2002,Total,Total,Total,27.84,9.281,554,0.505
Age-Adjusted Rate,Asthma,Inpatient,Broome,2000-2019,Total,Total,Total,179.29,8.964,3510,0.480
Age-Adjusted Rate,Asthma,Inpatient,Broome,2001-2003,Total,Total,Total,28.74,9.582,580,0.530
Age-Adjusted Rate,Asthma,Inpatient,Broome,2002-2004,Total,Total,Total,25.91,8.637,529,0.483
Age-Adjusted Rate,Asthma,Inpatient,Broome,2003-2005,Total,Total,Total,23.85,7.950,494,0.451
Age-Adjusted Rate,Asthma,Inpatient,Broome,2004-2006,Total,Total,Total,23.76,7.920,488,0.445
Age-Adjusted Rate,Asthma,Inpatient,Broome,2005-2007,Total,Total,Total,25.12,8.375,511,0.467
Age-Adjusted Rate,Asthma,Inpatient,Broome,2006-2008,Total,Total,Total,29.75,9.916,607,0.554
Age-Adjusted Rate,Asthma,Inpatient,Broome,2007-2009,Total,Total,Total,32.60,10.865,654,0.597
Age-Adjusted Rate,Asthma,Inpatient,Broome,2008-2010,Total,Total,Total,32.91,10.969,663,0.605
Age-Adjusted Rate,Asthma,Inpatient,Broome,2009-2011,Total,Total,Total,32.89,10.962,647,0.591
Age-Adjusted Rate,Asthma,Inpatient,Broome,2010-2012,Total,Total,Total,31.70,10.565,621,0.567
Age-Adjusted Rate,Asthma,Inpatient,Broome,2011-2013,Total,Total,Total,31.64,10.546,614,0.560
Age-Adjusted Rate,Asthma,Inpatient,Broome,2012-2014,Total,Total,Total,29.42,9.807,576,0.526
Age-Adjusted Rate,Asthma,Inpatient,Broome,2013-2015,Total,Total,Total,27.65,9.218,542,0.495
Age-Adjusted Rate,Asthma,Inpatient,Broome,2014-2016,Total,Total,Total,24.53,8.176,463,0.422
Age-Adjusted Rate,Asthma,Inpatient,Broome,2015-2017,Total,Total,Total,21.99,7.329,391,0.357
Age-Adjusted Rate,Asthma,Inpatient,Broome,2016-2018,Total,Total,Total,20.52,6.842,346,0.316
Age-Adjusted Rate,Asthma,Inpatient,Broome,2017-2019,Total,Total,Total,,,356,0.325
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2000-2002,Total,Total,Total,28.76,9.587,229,0.209
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2000-2019,Total,Total,Total,168.27,8.413,1317,0.180
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2001-2003,Total,Total,Total,29.31,9.768,235,0.215
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2002-2004,Total,Total,Total,31.12,10.372,250,0.228
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2003-2005,Total,Total,Total,33.51,11.171,270,0.246
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2004-2006,Total,Total,Total,35.54,11.846,281,0.256
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2005-2007,Total,Total,Total,31.07,10.358,245,0.224
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2006-2008,Total,Total,Total,29.19,9.730,225,0.205
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2007-2009,Total,Total,Total,31.45,10.484,245,0.224
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2008-2010,Total,Total,Total,35.04,11.680,270,0.246
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2009-2011,Total,Total,Total,36.31,12.105,280,0.256
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2010-2012,Total,Total,Total,29.62,9.873,228,0.208
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2011-2013,Total,Total,Total,26.60,8.865,212,0.193
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2012-2014,Total,Total,Total,23.11,7.704,188,0.172
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2013-2015,Total,Total,Total,21.91,7.303,183,0.167
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2014-2016,Total,Total,Total,15.08,5.027,124,0.113
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2015-2017,Total,Total,Total,11.93,3.975,93,0.085
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2016-2018,Total,Total,Total,8.90,2.968,62,0.057
Age-Adjusted Rate,Asthma,Inpatient,Cattaraugus,2017-2019,Total,Total,Total,,,60,0.055
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2000-2002,Total,Total,Total,38.58,12.859,322,0.294
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2000-2019,Total,Total,Total,174.80,8.740,1455,0.199
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2001-2003,Total,Total,Total,38.43,12.811,317,0.289
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2002-2004,Total,Total,Total,38.67,12.890,325,0.297
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2003-2005,Total,Total,Total,38.41,12.805,323,0.295
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2004-2006,Total,Total,Total,32.88,10.959,281,0.256
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2005-2007,Total,Total,Total,27.38,9.127,231,0.211
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2006-2008,Total,Total,Total,25.02,8.340,214,0.195
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2007-2009,Total,Total,Total,26.96,8.987,229,0.209
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2008-2010,Total,Total,Total,30.82,10.273,261,0.238
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2009-2011,Total,Total,Total,31.31,10.436,267,0.244
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2010-2012,Total,Total,Total,28.07,9.356,243,0.222
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2011-2013,Total,Total,Total,25.99,8.664,225,0.205
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2012-2014,Total,Total,Total,23.88,7.960,200,0.182
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2013-2015,Total,Total,Total,20.65,6.884,170,0.155
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2014-2016,Total,Total,Total,14.98,4.993,119,0.109
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2015-2017,Total,Total,Total,12.19,4.062,92,0.084
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2016-2018,Total,Total,Total,11.16,3.721,79,0.072
Age-Adjusted Rate,Asthma,Inpatient,Cayuga,2017-2019,Total,Total,Total,,,72,0.066
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2000-2002,Total,Total,Total,34.88,11.628,507,0.463
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2000-2019,Total,Total,Total,171.90,8.595,2363,0.323
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2001-2003,Total,Total,Total,34.65,11.549,497,0.454
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2002-2004,Total,Total,Total,35.37,11.789,499,0.455
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2003-2005,Total,Total,Total,36.25,12.084,508,0.464
Age-Adjusted Rate,Asthma,Inpatient,Chautauqua,2004-2006,Total,Total,Total,35.61,11.869,490,0.447
