rate_adj,health_event,geography,geography_code,year,sex,race,age,Count,Population,rate,lb,ub,significance
Crude/Age-Specific Rate,Asthma,Centre,27,2003,Male,All Races,Adult,14,"60,038",23.3,11.1,35.5,-
Crude/Age-Specific Rate,Asthma,Chester,29,2003,Male,All Races,Adult,107,"164,036",65.2,52.9,77.6,-
Crude/Age-Specific Rate,Asthma,Clarion,31,2003,Male,All Races,Adult,28,"15,523",180.4,113.6,247.2,+
Crude/Age-Specific Rate,Asthma,Clearfield,33,2003,Male,All Races,Adult,19,"32,575",58.3,32.1,84.6,-
Crude/Age-Specific Rate,Asthma,Clinton,35,2003,Male,All Races,Adult,ND,"14,022",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Columbia,37,2003,Male,All Races,Adult,13,"24,088",54,24.6,83.3,-
Crude/Age-Specific Rate,Asthma,Crawford,39,2003,Male,All Races,Adult,24,"32,481",73.9,44.3,103.5,
Crude/Age-Specific Rate,Asthma,Cumberland,41,2003,Male,All Races,Adult,40,"83,308",48,33.1,62.9,-
Crude/Age-Specific Rate,Asthma,Dauphin,43,2003,Male,All Races,Adult,39,"91,055",42.8,29.4,56.3,-
Crude/Age-Specific Rate,Asthma,Delaware,45,2003,Male,All Races,Adult,193,"196,350",98.3,84.4,112.2,
Crude/Age-Specific Rate,Asthma,Elk,47,2003,Male,All Races,Adult,ND,"12,846",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Erie,49,2003,Male,All Races,Adult,56,"101,858",55,40.6,69.4,-
Crude/Age-Specific Rate,Asthma,Fayette,51,2003,Male,All Races,Adult,68,"53,304",127.6,97.2,157.9,
Crude/Age-Specific Rate,Asthma,Forest,53,2003,Male,All Races,Adult,ND,"2,107",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Franklin,55,2003,Male,All Races,Adult,28,"48,655",57.5,36.2,78.9,-
Crude/Age-Specific Rate,Asthma,Fulton,57,2003,Male,All Races,Adult,11,"5,573",197.4,80.7,314,
Crude/Age-Specific Rate,Asthma,Greene,59,2003,Male,All Races,Adult,ND,"16,578",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Huntingdon,61,2003,Male,All Races,Adult,ND,"19,241",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Indiana,63,2003,Male,All Races,Adult,23,"33,893",67.9,40.1,95.6,
Crude/Age-Specific Rate,Asthma,Jefferson,65,2003,Male,All Races,Adult,ND,"17,296",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Juniata,67,2003,Male,All Races,Adult,ND,"8,593",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Lackawanna,69,2003,Male,All Races,Adult,52,"76,334",68.1,49.6,86.6,-
Crude/Age-Specific Rate,Asthma,Lancaster,71,2003,Male,All Races,Adult,104,"171,211",60.7,49.1,72.4,-
Crude/Age-Specific Rate,Asthma,Lawrence,73,2003,Male,All Races,Adult,49,"33,600",145.8,105,186.7,+
Crude/Age-Specific Rate,Asthma,Lebanon,75,2003,Male,All Races,Adult,14,"44,908",31.2,14.8,47.5,-
Crude/Age-Specific Rate,Asthma,Lehigh,77,2003,Male,All Races,Adult,108,"116,192",92.9,75.4,110.5,
Crude/Age-Specific Rate,Asthma,Luzerne,79,2003,Male,All Races,Adult,100,"118,312",84.5,68,101.1,
Crude/Age-Specific Rate,Asthma,Lycoming,81,2003,Male,All Races,Adult,20,"43,964",45.5,25.6,65.4,-
Crude/Age-Specific Rate,Asthma,McKean,83,2003,Male,All Races,Adult,15,"17,698",84.8,41.9,127.6,
Crude/Age-Specific Rate,Asthma,Mercer,85,2003,Male,All Races,Adult,39,"44,400",87.8,60.3,115.4,
Crude/Age-Specific Rate,Asthma,Mifflin,87,2003,Male,All Races,Adult,25,"16,651",150.1,91.3,209,
Crude/Age-Specific Rate,Asthma,Monroe,89,2003,Male,All Races,Adult,42,"55,749",75.3,52.6,98.1,
Crude/Age-Specific Rate,Asthma,Montgomery,91,2003,Male,All Races,Adult,200,"281,476",71.1,61.2,80.9,-
Crude/Age-Specific Rate,Asthma,Montour,93,2003,Male,All Races,Adult,ND,"6,444",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Northampton,95,2003,Male,All Races,Adult,112,"102,168",109.6,89.3,129.9,
Crude/Age-Specific Rate,Asthma,Northumberland,97,2003,Male,All Races,Adult,15,"35,686",42,20.8,63.3,-
Crude/Age-Specific Rate,Asthma,Perry,99,2003,Male,All Races,Adult,ND,"16,425",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Philadelphia,101,2003,Male,All Races,Adult,"1,093","496,998",219.9,206.9,233,+
Crude/Age-Specific Rate,Asthma,Pike,103,2003,Male,All Races,Adult,ND,"19,329",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Potter,105,2003,Male,All Races,Adult,ND,"6,650",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Schuylkill,107,2003,Male,All Races,Adult,51,"59,043",86.4,62.7,110.1,
Crude/Age-Specific Rate,Asthma,Snyder,109,2003,Male,All Races,Adult,ND,"14,001",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Somerset,111,2003,Male,All Races,Adult,22,"31,561",69.7,40.6,98.8,
Crude/Age-Specific Rate,Asthma,Sullivan,113,2003,Male,All Races,Adult,ND,ND,ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Susquehanna,115,2003,Male,All Races,Adult,14,"15,364",91.1,43.4,138.9,
Crude/Age-Specific Rate,Asthma,Tioga,117,2003,Male,All Races,Adult,ND,"15,432",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Union,119,2003,Male,All Races,Adult,14,"19,322",72.5,34.5,110.4,
Crude/Age-Specific Rate,Asthma,Venango,121,2003,Male,All Races,Adult,22,"20,715",106.2,61.8,150.6,
Crude/Age-Specific Rate,Asthma,Warren,123,2003,Male,All Races,Adult,ND,"15,884",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Washington,125,2003,Male,All Races,Adult,91,"76,669",118.7,94.3,143.1,
Crude/Age-Specific Rate,Asthma,Wayne,127,2003,Male,All Races,Adult,ND,"18,523",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Westmoreland,129,2003,Male,All Races,Adult,177,"137,812",128.4,109.5,147.4,+
Crude/Age-Specific Rate,Asthma,Wyoming,131,2003,Male,All Races,Adult,ND,"10,434",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,York,133,2003,Male,All Races,Adult,74,"145,642",50.8,39.2,62.4,-
Crude/Age-Specific Rate,Asthma,Pennsylvania,0,2002,Male,All Races,Adult,"3,690","4,477,153",82.4,79.8,85.1,
Crude/Age-Specific Rate,Asthma,Adams,1,2002,Male,All Races,Adult,24,"34,473",69.6,41.8,97.5,
Crude/Age-Specific Rate,Asthma,Allegheny,3,2002,Male,All Races,Adult,391,"460,369",84.9,76.5,93.4,
Crude/Age-Specific Rate,Asthma,Armstrong,5,2002,Male,All Races,Adult,22,"26,834",82,47.7,116.2,
Crude/Age-Specific Rate,Asthma,Beaver,7,2002,Male,All Races,Adult,66,"65,672",100.5,76.3,124.7,
Crude/Age-Specific Rate,Asthma,Bedford,9,2002,Male,All Races,Adult,ND,"18,623",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Berks,11,2002,Male,All Races,Adult,141,"139,123",101.3,84.6,118.1,
Crude/Age-Specific Rate,Asthma,Blair,13,2002,Male,All Races,Adult,25,"46,342",53.9,32.8,75.1,-
Crude/Age-Specific Rate,Asthma,Bradford,15,2002,Male,All Races,Adult,15,"22,646",66.2,32.7,99.8,
Crude/Age-Specific Rate,Asthma,Bucks,17,2002,Male,All Races,Adult,112,"221,657",50.5,41.2,59.9,-
Crude/Age-Specific Rate,Asthma,Butler,19,2002,Male,All Races,Adult,28,"64,626",43.3,27.3,59.4,-
Crude/Age-Specific Rate,Asthma,Cambria,21,2002,Male,All Races,Adult,43,"57,336",75,52.6,97.4,
Crude/Age-Specific Rate,Asthma,Cameron,23,2002,Male,All Races,Adult,ND,"2,199",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Carbon,25,2002,Male,All Races,Adult,37,"22,607",163.7,110.9,216.4,+
Crude/Age-Specific Rate,Asthma,Centre,27,2002,Male,All Races,Adult,16,"58,043",27.6,14.1,41.1,-
Crude/Age-Specific Rate,Asthma,Chester,29,2002,Male,All Races,Adult,50,"160,692",31.1,22.5,39.7,-
Crude/Age-Specific Rate,Asthma,Clarion,31,2002,Male,All Races,Adult,19,"15,447",123,67.7,178.3,
Crude/Age-Specific Rate,Asthma,Clearfield,33,2002,Male,All Races,Adult,18,"32,297",55.7,30,81.5,
Crude/Age-Specific Rate,Asthma,Clinton,35,2002,Male,All Races,Adult,ND,"14,065",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Columbia,37,2002,Male,All Races,Adult,14,"23,895",58.6,27.9,89.3,
Crude/Age-Specific Rate,Asthma,Crawford,39,2002,Male,All Races,Adult,27,"32,298",83.6,52.1,115.1,
Crude/Age-Specific Rate,Asthma,Cumberland,41,2002,Male,All Races,Adult,44,"82,144",53.6,37.7,69.4,-
Crude/Age-Specific Rate,Asthma,Dauphin,43,2002,Male,All Races,Adult,59,"90,592",65.1,48.5,81.7,
Crude/Age-Specific Rate,Asthma,Delaware,45,2002,Male,All Races,Adult,114,"194,812",58.5,47.8,69.3,-
Crude/Age-Specific Rate,Asthma,Elk,47,2002,Male,All Races,Adult,12,"12,863",93.3,40.5,146.1,
Crude/Age-Specific Rate,Asthma,Erie,49,2002,Male,All Races,Adult,49,"101,513",48.3,34.8,61.8,-
Crude/Age-Specific Rate,Asthma,Fayette,51,2002,Male,All Races,Adult,59,"53,381",110.5,82.3,138.7,
Crude/Age-Specific Rate,Asthma,Forest,53,2002,Male,All Races,Adult,ND,"2,078",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Franklin,55,2002,Male,All Races,Adult,22,"48,087",45.8,26.6,64.9,-
Crude/Age-Specific Rate,Asthma,Fulton,57,2002,Male,All Races,Adult,ND,"5,477",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Greene,59,2002,Male,All Races,Adult,ND,"16,385",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Huntingdon,61,2002,Male,All Races,Adult,10,"18,971",52.7,20,85.4,
Crude/Age-Specific Rate,Asthma,Indiana,63,2002,Male,All Races,Adult,17,"33,596",50.6,26.5,74.7,-
Crude/Age-Specific Rate,Asthma,Jefferson,65,2002,Male,All Races,Adult,ND,"17,117",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Juniata,67,2002,Male,All Races,Adult,ND,"8,448",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Lackawanna,69,2002,Male,All Races,Adult,68,"76,178",89.3,68,110.5,
Crude/Age-Specific Rate,Asthma,Lancaster,71,2002,Male,All Races,Adult,104,"168,888",61.6,49.7,73.4,-
Crude/Age-Specific Rate,Asthma,Lawrence,73,2002,Male,All Races,Adult,41,"33,871",121,84,158.1,
Crude/Age-Specific Rate,Asthma,Lebanon,75,2002,Male,All Races,Adult,16,"44,245",36.2,18.4,53.9,-
Crude/Age-Specific Rate,Asthma,Lehigh,77,2002,Male,All Races,Adult,111,"115,098",96.4,78.5,114.4,
Crude/Age-Specific Rate,Asthma,Luzerne,79,2002,Male,All Races,Adult,63,"118,377",53.2,40.1,66.4,-
Crude/Age-Specific Rate,Asthma,Lycoming,81,2002,Male,All Races,Adult,16,"44,221",36.2,18.5,53.9,-
Crude/Age-Specific Rate,Asthma,McKean,83,2002,Male,All Races,Adult,15,"17,621",85.1,42,128.2,
Crude/Age-Specific Rate,Asthma,Mercer,85,2002,Male,All Races,Adult,28,"44,066",63.5,40,87.1,
Crude/Age-Specific Rate,Asthma,Mifflin,87,2002,Male,All Races,Adult,13,"16,637",78.1,35.7,120.6,
Crude/Age-Specific Rate,Asthma,Monroe,89,2002,Male,All Races,Adult,21,"53,538",39.2,22.4,56,-
Crude/Age-Specific Rate,Asthma,Montgomery,91,2002,Male,All Races,Adult,155,"277,986",55.8,47,64.5,-
Crude/Age-Specific Rate,Asthma,Montour,93,2002,Male,All Races,Adult,ND,"6,459",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Northampton,95,2002,Male,All Races,Adult,91,"100,582",90.5,71.9,109.1,
Crude/Age-Specific Rate,Asthma,Northumberland,97,2002,Male,All Races,Adult,18,"35,434",50.8,27.3,74.3,-
Crude/Age-Specific Rate,Asthma,Perry,99,2002,Male,All Races,Adult,ND,"16,286",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Philadelphia,101,2002,Male,All Races,Adult,979,"500,038",195.8,183.5,208,+
Crude/Age-Specific Rate,Asthma,Pike,103,2002,Male,All Races,Adult,ND,"18,443",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Potter,105,2002,Male,All Races,Adult,ND,"6,624",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Schuylkill,107,2002,Male,All Races,Adult,42,"58,695",71.6,49.9,93.2,
Crude/Age-Specific Rate,Asthma,Snyder,109,2002,Male,All Races,Adult,ND,"13,898",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Somerset,111,2002,Male,All Races,Adult,13,"31,198",41.7,19,64.3,-
Crude/Age-Specific Rate,Asthma,Sullivan,113,2002,Male,All Races,Adult,ND,"2,595",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Susquehanna,115,2002,Male,All Races,Adult,11,"15,523",70.9,29,112.7,
Crude/Age-Specific Rate,Asthma,Tioga,117,2002,Male,All Races,Adult,ND,"15,331",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Union,119,2002,Male,All Races,Adult,ND,"19,282",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Venango,121,2002,Male,All Races,Adult,26,"20,835",124.8,76.8,172.8,
Crude/Age-Specific Rate,Asthma,Warren,123,2002,Male,All Races,Adult,ND,"16,012",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Washington,125,2002,Male,All Races,Adult,93,"75,552",123.1,98.1,148.1,+
Crude/Age-Specific Rate,Asthma,Wayne,127,2002,Male,All Races,Adult,11,"18,625",59.1,24.2,94,
Crude/Age-Specific Rate,Asthma,Westmoreland,129,2002,Male,All Races,Adult,138,"137,090",100.7,83.9,117.5,
Crude/Age-Specific Rate,Asthma,Wyoming,131,2002,Male,All Races,Adult,ND,"10,198",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,York,133,2002,Male,All Races,Adult,60,"143,019",42,31.3,52.6,-
Crude/Age-Specific Rate,Asthma,Pennsylvania,0,2001,Male,All Races,Adult,"3,427","4,446,555",77.1,74.5,79.7,
Crude/Age-Specific Rate,Asthma,Adams,1,2001,Male,All Races,Adult,20,"33,935",58.9,33.1,84.8,
Crude/Age-Specific Rate,Asthma,Allegheny,3,2001,Male,All Races,Adult,342,"459,302",74.5,66.6,82.4,
Crude/Age-Specific Rate,Asthma,Armstrong,5,2001,Male,All Races,Adult,18,"26,881",67,36,97.9,
Crude/Age-Specific Rate,Asthma,Beaver,7,2001,Male,All Races,Adult,55,"65,555",83.9,61.7,106.1,
Crude/Age-Specific Rate,Asthma,Bedford,9,2001,Male,All Races,Adult,10,"18,570",53.9,20.5,87.2,
Crude/Age-Specific Rate,Asthma,Berks,11,2001,Male,All Races,Adult,136,"137,343",99,82.4,115.7,+
Crude/Age-Specific Rate,Asthma,Blair,13,2001,Male,All Races,Adult,30,"46,571",64.4,41.4,87.5,
Crude/Age-Specific Rate,Asthma,Bradford,15,2001,Male,All Races,Adult,ND,"22,571",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Bucks,17,2001,Male,All Races,Adult,132,"219,042",60.3,50,70.5,-
Crude/Age-Specific Rate,Asthma,Butler,19,2001,Male,All Races,Adult,29,"63,934",45.4,28.9,61.9,-
Crude/Age-Specific Rate,Asthma,Cambria,21,2001,Male,All Races,Adult,41,"57,308",71.5,49.6,93.4,
Crude/Age-Specific Rate,Asthma,Cameron,23,2001,Male,All Races,Adult,ND,"2,186",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Carbon,25,2001,Male,All Races,Adult,32,"22,418",142.7,93.3,192.2,+
Crude/Age-Specific Rate,Asthma,Centre,27,2001,Male,All Races,Adult,18,"57,061",31.5,17,46.1,-
Crude/Age-Specific Rate,Asthma,Chester,29,2001,Male,All Races,Adult,49,"157,915",31,22.3,39.7,-
Crude/Age-Specific Rate,Asthma,Clarion,31,2001,Male,All Races,Adult,23,"15,458",148.8,88,209.6,+
Crude/Age-Specific Rate,Asthma,Clearfield,33,2001,Male,All Races,Adult,23,"32,052",71.8,42.4,101.1,
Crude/Age-Specific Rate,Asthma,Clinton,35,2001,Male,All Races,Adult,ND,"14,127",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Columbia,37,2001,Male,All Races,Adult,13,"23,847",54.5,24.9,84.1,
Crude/Age-Specific Rate,Asthma,Crawford,39,2001,Male,All Races,Adult,15,"32,356",46.4,22.9,69.8,-
Crude/Age-Specific Rate,Asthma,Cumberland,41,2001,Male,All Races,Adult,33,"80,960",40.8,26.9,54.7,-
Crude/Age-Specific Rate,Asthma,Dauphin,43,2001,Male,All Races,Adult,55,"89,702",61.3,45.1,77.5,
Crude/Age-Specific Rate,Asthma,Delaware,45,2001,Male,All Races,Adult,124,"193,282",64.2,52.9,75.4,
Crude/Age-Specific Rate,Asthma,Elk,47,2001,Male,All Races,Adult,ND,"12,904",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Erie,49,2001,Male,All Races,Adult,51,"100,845",50.6,36.7,64.5,-
Crude/Age-Specific Rate,Asthma,Fayette,51,2001,Male,All Races,Adult,48,"53,454",89.8,64.4,115.2,
Crude/Age-Specific Rate,Asthma,Forest,53,2001,Male,All Races,Adult,ND,"2,063",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Franklin,55,2001,Male,All Races,Adult,27,"47,680",56.6,35.3,78,
Crude/Age-Specific Rate,Asthma,Fulton,57,2001,Male,All Races,Adult,ND,"5,416",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Greene,59,2001,Male,All Races,Adult,ND,"16,292",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Huntingdon,61,2001,Male,All Races,Adult,ND,"18,841",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Indiana,63,2001,Male,All Races,Adult,22,"33,654",65.4,38.1,92.7,
Crude/Age-Specific Rate,Asthma,Jefferson,65,2001,Male,All Races,Adult,ND,"16,957",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Juniata,67,2001,Male,All Races,Adult,ND,"8,468",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Lackawanna,69,2001,Male,All Races,Adult,66,"76,554",86.2,65.4,107,
Crude/Age-Specific Rate,Asthma,Lancaster,71,2001,Male,All Races,Adult,102,"167,126",61,49.2,72.9,-
Crude/Age-Specific Rate,Asthma,Lawrence,73,2001,Male,All Races,Adult,41,"33,838",121.2,84.1,158.3,+
Crude/Age-Specific Rate,Asthma,Lebanon,75,2001,Male,All Races,Adult,ND,"44,103",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Lehigh,77,2001,Male,All Races,Adult,87,"113,473",76.7,60.6,92.8,
Crude/Age-Specific Rate,Asthma,Luzerne,79,2001,Male,All Races,Adult,64,"118,186",54.2,40.9,67.4,-
Crude/Age-Specific Rate,Asthma,Lycoming,81,2001,Male,All Races,Adult,ND,"43,917",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,McKean,83,2001,Male,All Races,Adult,13,"17,341",75,34.2,115.7,
Crude/Age-Specific Rate,Asthma,Mercer,85,2001,Male,All Races,Adult,21,"43,896",47.8,27.4,68.3,-
Crude/Age-Specific Rate,Asthma,Mifflin,87,2001,Male,All Races,Adult,13,"16,654",78.1,35.6,120.5,
Crude/Age-Specific Rate,Asthma,Monroe,89,2001,Male,All Races,Adult,15,"51,806",29,14.3,43.6,-
Crude/Age-Specific Rate,Asthma,Montgomery,91,2001,Male,All Races,Adult,141,"274,651",51.3,42.9,59.8,-
Crude/Age-Specific Rate,Asthma,Montour,93,2001,Male,All Races,Adult,ND,"6,452",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Northampton,95,2001,Male,All Races,Adult,103,"99,233",103.8,83.8,123.8,+
Crude/Age-Specific Rate,Asthma,Northumberland,97,2001,Male,All Races,Adult,11,"35,359",31.1,12.7,49.5,-
Crude/Age-Specific Rate,Asthma,Perry,99,2001,Male,All Races,Adult,10,"16,199",61.7,23.5,100,
Crude/Age-Specific Rate,Asthma,Philadelphia,101,2001,Male,All Races,Adult,875,"499,673",175.1,163.5,186.7,+
Crude/Age-Specific Rate,Asthma,Pike,103,2001,Male,All Races,Adult,ND,"17,751",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Potter,105,2001,Male,All Races,Adult,ND,"6,594",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Schuylkill,107,2001,Male,All Races,Adult,46,"58,575",78.5,55.8,101.2,
Crude/Age-Specific Rate,Asthma,Snyder,109,2001,Male,All Races,Adult,ND,"13,841",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Somerset,111,2001,Male,All Races,Adult,15,"30,874",48.6,24,73.2,-
Crude/Age-Specific Rate,Asthma,Sullivan,113,2001,Male,All Races,Adult,ND,"2,589",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Susquehanna,115,2001,Male,All Races,Adult,ND,"15,485",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Tioga,117,2001,Male,All Races,Adult,ND,"15,347",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Union,119,2001,Male,All Races,Adult,ND,"19,060",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Venango,121,2001,Male,All Races,Adult,19,"20,858",91.1,50.1,132.1,
Crude/Age-Specific Rate,Asthma,Warren,123,2001,Male,All Races,Adult,ND,"16,059",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Washington,125,2001,Male,All Races,Adult,57,"75,088",75.9,56.2,95.6,
Crude/Age-Specific Rate,Asthma,Wayne,127,2001,Male,All Races,Adult,13,"18,418",70.6,32.2,109,
Crude/Age-Specific Rate,Asthma,Westmoreland,129,2001,Male,All Races,Adult,145,"136,789",106,88.7,123.3,+
Crude/Age-Specific Rate,Asthma,Wyoming,131,2001,Male,All Races,Adult,10,"10,236",97.7,37.1,158.2,
Crude/Age-Specific Rate,Asthma,York,133,2001,Male,All Races,Adult,79,"141,580",55.8,43.5,68.1,-
Crude/Age-Specific Rate,Asthma,Pennsylvania,0,2000,Male,All Races,Adult,"3,298","4,430,102",74.4,71.9,77,
Crude/Age-Specific Rate,Asthma,Adams,1,2000,Male,All Races,Adult,22,"33,165",66.3,38.6,94.1,
Crude/Age-Specific Rate,Asthma,Allegheny,3,2000,Male,All Races,Adult,392,"463,140",84.6,76.3,93,
Crude/Age-Specific Rate,Asthma,Armstrong,5,2000,Male,All Races,Adult,22,"26,754",82.2,47.9,116.6,
Crude/Age-Specific Rate,Asthma,Beaver,7,2000,Male,All Races,Adult,52,"65,762",79.1,57.6,100.6,
Crude/Age-Specific Rate,Asthma,Bedford,9,2000,Male,All Races,Adult,ND,"18,556",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Berks,11,2000,Male,All Races,Adult,117,"135,547",86.3,70.7,102,
Crude/Age-Specific Rate,Asthma,Blair,13,2000,Male,All Races,Adult,25,"46,880",53.3,32.4,74.2,
Crude/Age-Specific Rate,Asthma,Bradford,15,2000,Male,All Races,Adult,ND,"22,407",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Bucks,17,2000,Male,All Races,Adult,124,"214,468",57.8,47.6,68,-
Crude/Age-Specific Rate,Asthma,Butler,19,2000,Male,All Races,Adult,29,"62,799",46.2,29.4,63,-
Crude/Age-Specific Rate,Asthma,Cambria,21,2000,Male,All Races,Adult,37,"57,531",64.3,43.6,85,
Crude/Age-Specific Rate,Asthma,Cameron,23,2000,Male,All Races,Adult,ND,"2,192",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Carbon,25,2000,Male,All Races,Adult,36,"21,965",163.9,110.4,217.4,+
Crude/Age-Specific Rate,Asthma,Centre,27,2000,Male,All Races,Adult,ND,"56,833",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Chester,29,2000,Male,All Races,Adult,56,"154,250",36.3,26.8,45.8,-
Crude/Age-Specific Rate,Asthma,Clarion,31,2000,Male,All Races,Adult,11,"15,543",70.8,28.9,112.6,
Crude/Age-Specific Rate,Asthma,Clearfield,33,2000,Male,All Races,Adult,14,"31,824",44,20.9,67,-
Crude/Age-Specific Rate,Asthma,Clinton,35,2000,Male,All Races,Adult,ND,"14,201",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Columbia,37,2000,Male,All Races,Adult,13,"23,747",54.7,25,84.5,
Crude/Age-Specific Rate,Asthma,Crawford,39,2000,Male,All Races,Adult,17,"32,379",52.5,27.5,77.5,
Crude/Age-Specific Rate,Asthma,Cumberland,41,2000,Male,All Races,Adult,35,"80,192",43.6,29.2,58.1,-
Crude/Age-Specific Rate,Asthma,Dauphin,43,2000,Male,All Races,Adult,49,"89,696",54.6,39.3,69.9,-
Crude/Age-Specific Rate,Asthma,Delaware,45,2000,Male,All Races,Adult,132,"192,540",68.6,56.9,80.3,
Crude/Age-Specific Rate,Asthma,Elk,47,2000,Male,All Races,Adult,ND,"13,011",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Erie,49,2000,Male,All Races,Adult,33,"100,729",32.8,21.6,43.9,-
Crude/Age-Specific Rate,Asthma,Fayette,51,2000,Male,All Races,Adult,39,"53,673",72.7,49.9,95.5,
Crude/Age-Specific Rate,Asthma,Forest,53,2000,Male,All Races,Adult,ND,"1,934",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Franklin,55,2000,Male,All Races,Adult,15,"47,050",31.9,15.7,48,-
Crude/Age-Specific Rate,Asthma,Fulton,57,2000,Male,All Races,Adult,ND,"5,338",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Greene,59,2000,Male,All Races,Adult,ND,"16,346",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Huntingdon,61,2000,Male,All Races,Adult,14,"18,709",74.8,35.6,114,
Crude/Age-Specific Rate,Asthma,Indiana,63,2000,Male,All Races,Adult,16,"33,630",47.6,24.3,70.9,-
Crude/Age-Specific Rate,Asthma,Jefferson,65,2000,Male,All Races,Adult,19,"16,885",112.5,61.9,163.1,
Crude/Age-Specific Rate,Asthma,Juniata,67,2000,Male,All Races,Adult,ND,"8,400",ND,ND,ND,-
Crude/Age-Specific Rate,Asthma,Lackawanna,69,2000,Male,All Races,Adult,40,"76,854",52,35.9,68.2,-
Crude/Age-Specific Rate,Asthma,Lancaster,71,2000,Male,All Races,Adult,77,"165,096",46.6,36.2,57.1,-
Crude/Age-Specific Rate,Asthma,Lawrence,73,2000,Male,All Races,Adult,47,"33,841",138.9,99.2,178.6,+
Crude/Age-Specific Rate,Asthma,Lebanon,75,2000,Male,All Races,Adult,12,"43,927",27.3,11.9,42.8,-
Crude/Age-Specific Rate,Asthma,Lehigh,77,2000,Male,All Races,Adult,84,"112,214",74.9,58.8,90.9,
Crude/Age-Specific Rate,Asthma,Luzerne,79,2000,Male,All Races,Adult,65,"119,119",54.6,41.3,67.8,-
Crude/Age-Specific Rate,Asthma,Lycoming,81,2000,Male,All Races,Adult,12,"44,306",27.1,11.8,42.4,-
Crude/Age-Specific Rate,Asthma,McKean,83,2000,Male,All Races,Adult,11,"17,401",63.2,25.9,100.6,
